ntu60_id,ntu60_label,motion10_id,motion10_name,motion8_id,motion8_name,dominant_parts,rule_basis,note
17,"take off a shoe",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hand+leg+trunk,body_wear_adjustment,"hand-to-foot undressing motion"
18,"wear on glasses",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,"both hands move accessory to head"
19,"take off glasses",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,"both hands remove accessory from head"
20,"put on a hat/cap",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,"upward hand motion to head with accessory"
21,"take off a hat/cap",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,"head accessory removal"
22,"cheer up",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,arms+hands,upper_body_expressive_pattern,"salient celebratory arm gesture"
23,"hand waving",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,arm+hand,upper_body_expressive_pattern,"side-to-side waving motion"
24,"kicking something",M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,leg+trunk,object_directed_limb_strike,"lower-limb strike toward external target"
25,"reach into pocket",M10-02,torso_self_touch_reach,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,"self-directed reach to torso/pocket area"
26,"hopping (one foot jumping)",M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,leg+trunk,locomotor_dynamic_pattern,"repetitive lower-body propulsion"
27,"jump up",M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,leg+trunk,locomotor_dynamic_pattern,"vertical full-body propulsion"
28,"make a phone call/answer phone",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hand+head,front_of_body_fine_manual,"small-amplitude object use near head"
29,"playing with phone/tablet",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,"fine two-hand device interaction"
30,"typing on a keyboard",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,"rapid small-amplitude finger/hand motion"
31,"pointing to something with finger",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,arm+hand,deictic_upper_body_gesture,"one-arm extension with finger emphasis"
32,"taking a selfie",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,arm+hand+head,front_of_body_fine_manual,"device-oriented arm extension plus framing pose"
33,"check time (from watch)",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,"small self-facing arm/hand inspection motion"
34,"rub two hands together",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,both_hands,bilateral_upper_body_gesture,"repetitive bilateral hand friction"
35,"nod head/bow",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,head+trunk,upper_body_expressive_pattern,"head-dominant expressive motion"
36,"shake head",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,head,upper_body_expressive_pattern,"head-dominant side-to-side motion"
37,"wipe face",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,"hand sweeps across face region"
38,"salute",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,arm+head,upper_body_expressive_pattern,"one-arm conventional symbolic gesture"
39,"put the palms together",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,both_hands,bilateral_upper_body_gesture,"bilateral hand convergence in front of torso"
40,"cross hands in front (say stop)",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,both_arms,bilateral_upper_body_gesture,"cross-arm blocking gesture"
41,"sneeze/cough",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,head+hand+trunk,hand_to_head_face,"upper-body contraction with face-covering tendency"
42,"staggering",M10-08,unstable_whole_body_state,M8-07,unstable_or_abnormal_state,legs+trunk,whole_body_instability,"unstable balance and irregular whole-body sway"
43,"falling",M10-08,unstable_whole_body_state,M8-07,unstable_or_abnormal_state,whole_body,whole_body_instability,"sudden loss of balance trajectory"
44,"touch head (headache)",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,"self-touch concentrated on head region"
45,"touch chest (stomachache/heart pain)",M10-02,torso_self_touch_reach,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,"self-touch concentrated on chest/torso"
46,"touch back (backache)",M10-02,torso_self_touch_reach,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,"self-touch concentrated on back/torso"
47,"touch neck (neckache)",M10-02,torso_self_touch_reach,M8-01,self_upper_body_actions,hand+neck,torso_reach_self_contact,"self-touch concentrated on neck/upper torso"
48,"nausea or vomiting condition",M10-02,torso_self_touch_reach,M8-01,self_upper_body_actions,hand+torso+head,torso_reach_self_contact,"body contraction and self-directed torso motion"
49,"use a fan (with hand or paper)/feeling warm",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,arm+hand+head,hand_to_head_face,"repetitive hand/object motion near face"
50,"punching/slapping other person",M10-10,interpersonal_aggressive,M8-08,interpersonal_actions,arm+trunk,person_directed_forceful_contact,"forceful upper-limb action toward another person"
51,"kicking other person",M10-10,interpersonal_aggressive,M8-08,interpersonal_actions,leg+trunk,person_directed_forceful_contact,"forceful lower-limb action toward another person"
52,"pushing other person",M10-10,interpersonal_aggressive,M8-08,interpersonal_actions,arms+trunk,person_directed_forceful_contact,"forward force application toward another person"
53,"pat on back of other person",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,arm+trunk,person_directed_contact,"light contact toward another person"
54,"point finger at the other person",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,arm+hand,person_directed_contact,"deictic arm extension toward another person"
55,"hugging other person",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,arms+trunk,person_directed_contact,"bilateral arm closure around another person"
56,"giving something to other person",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,arm+hand,person_directed_contact,"forward hand extension toward another person"
57,"touch other person's pocket",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,hand+trunk,person_directed_contact,"targeted reach to other person's torso area"
58,"handshaking",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,arm+hand,person_directed_contact,"reciprocal hand contact"
59,"walking towards each other",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,legs+trunk,relational_interpersonal_motion,"locomotion defined by decreasing inter-person distance"
60,"walking apart from each other",M10-09,interpersonal_non_aggressive,M8-08,interpersonal_actions,legs+trunk,relational_interpersonal_motion,"locomotion defined by increasing inter-person distance"
