ntu60_id,ntu60_label,coarse10_id,coarse10_name,coarse8_id,coarse8_name,rule_basis,note
50,"punching/slapping other person",C10-10,aggressive_interaction,C8-08,aggressive_interaction,interpersonal_aggressive,"aggressive contact toward another person"
51,"kicking other person",C10-10,aggressive_interaction,C8-08,aggressive_interaction,interpersonal_aggressive,"aggressive contact toward another person"
52,"pushing other person",C10-10,aggressive_interaction,C8-08,aggressive_interaction,interpersonal_aggressive,"aggressive force toward another person"
53,"pat on back of other person",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"social touch toward another person"
54,"point finger at the other person",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"person-directed deictic interaction"
55,"hugging other person",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"affiliative social contact"
56,"giving something to other person",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"transfer action directed to another person"
57,"touch other person's pocket",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"person-directed object access"
58,"handshaking",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"conventional social interaction"
59,"walking towards each other",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"relational motion defined by another person"
60,"walking apart from each other",C10-09,interpersonal_interaction,C8-07,interpersonal_interaction,interpersonal_non_aggressive,"relational motion defined by another person"
